Type,Wallet,Credit Score
Safest,0x0553aeaaa787ca5bbca6e172d3fde33957ff4b91,937
Safest,0x0214c5c41f5249166aab9a12213ac0e2119d2cc8,933
Safest,0x03ed358b4ea92c6ff41ebf5f0f8f22847b993d2f,933
Safest,0x047ea31614fc085ce7b80412fbab65fd51a8bb7a,933
Safest,0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,930
Safest,0x00b43a92d45ccdfeef6ea98d56f775586fe9e39e,929
Safest,0x00c67d9d6d3d13b42a87424e145826c467cccd84,927
Safest,0x0144c47df1cc4d52ff115f758918dc42a9db48aa,925
Safest,0x02bee0a17903cc1f2f48b4514ec23aae547fe4a3,919
Safest,0x0357ee511a77d1981d2d79e076f9608be771c85b,919
Riskiest,0x0256b3d533b384fd24bfef8f61491ceea5426b5e,189
Riskiest,0x00d5201c4def4d1a199c63e07eac53f43252a0ea,162
Riskiest,0x06089bceee94a485c61b311cb61934d5cf8a684e,160
Riskiest,0x02eb2ee0867dc3dfaa3862d0cc86984b6aada907,32
Riskiest,0x051ba1cf67593ea9e697a1039c549cc94660c4b2,31
Riskiest,0x04288d0b8bc6298a7cc26f367f42932d71c79d9a,9
Riskiest,0x04dde662ee487ca57b13932a23352eb854ec36bf,3
Riskiest,0x003be39433bde975b12411fbc3025d49d813a84f,0
Riskiest,0x02a16f8df2b11b3a0c9f47cc5d705830792e3e6f,0
Riskiest,0x04426a58fdd02eb166b7c1a84ef390c4987ae1e0,0
